label,cluster_no
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
maize,1
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
chickpea,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
kidneybeans,6
